id,slug,name,description,address,city,district,openingHours,priceTier,lat,lng,isSponsored,sponsoredUntil,sponsoredRank,logoUrl,coverUrl,manager_id,status
c101,luthier-coffee-ab12,Luthier Coffee,"Dengan interior modern minimalis yang didominasi warna monokrom dan material industrial, Luthier adalah surga bagi para pencari ketenangan untuk bekerja atau sekadar menikmati kopi spesialti berkualitas tinggi.",Jl. Sumpah Pemuda No.16,Palembang,Ilir Barat I,08:00 - 22:00,3,-2.9698,104.738,true,2025-12-31,1,https://res.cloudinary.com/dovouihq8/image/upload/v1722324581/nongkrongr-real/luthier-logo_cqvq8h.png,https://res.cloudinary.com/dovouihq8/image/upload/v1722324581/nongkrongr-real/luthier-cover_x2gqze.jpg,,approved
c102,koma-space-cd34,KOMA Space,"Sebuah creative compound yang luas dengan area outdoor tropis dan indoor yang nyaman. KOMA bukan hanya tempat ngopi, tapi juga ruang berkumpulnya komunitas kreatif Palembang. Sering ada event seru di sini!",Jl. Jend. Sudirman No.KM.3,Palembang,Ilir Timur I,10:00 - 23:00,2,-2.973,104.755,false,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324578/nongkrongr-real/koma-logo_h4zpyq.png,https://res.cloudinary.com/dovouihq8/image/upload/v1722324577/nongkrongr-real/koma-cover_dvkqjr.jpg,,approved
c103,kozi-4-0-maranjat-ef56,KOZI 4.0 Maranjat,"Tersembunyi di dalam gang, KOZI menawarkan suasana homey dan cozy yang otentik. Dengan konsep 'ngopi di halaman belakang rumah', tempat ini sempurna untuk melarikan diri dari hiruk pikuk kota.",Jl. Inspektur Marzuki No.2536,Palembang,Ilir Barat I,08:00 - 22:00,2,-2.981,104.71,false,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324579/nongkrongr-real/kozi-logo_n8c4vp.png,https://res.cloudinary.com/dovouihq8/image/upload/v1722324578/nongkrongr-real/kozi-cover_n4qftg.jpg,,approved
c104,sefulah-coffee-gh78,Sefulah Coffee,"Kafe dengan sentuhan klasik dan etnik yang kental. Setiap sudutnya dihiasi perabotan kayu dan barang antik, menciptakan suasana hangat yang mengingatkan pada rumah nenek.",Jl. Pipa Reja,Palembang,Kemuning,09:00 - 23:00,2,-2.956,104.74,true,2025-06-30,2,https://res.cloudinary.com/dovouihq8/image/upload/v1722324585/nongkrongr-real/sefulah-logo_aqd8jc.png,https://res.cloudinary.com/dovouihq8/image/upload/v1722324585/nongkrongr-real/sefulah-cover_rfr3j2.jpg,,approved
c105,sore-sore-coffee-ij90,Sore Sore Coffee,"Seperti namanya, tempat ini adalah spot ideal untuk menikmati senja. Dengan area rooftop dan pemandangan kota, Sore Sore menawarkan pengalaman ngopi santai yang tak terlupakan.",Jl. Srijaya Negara,Palembang,Ilir Barat I,16:00 - 24:00,2,-2.982,104.733,false,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324588/nongkrongr-real/sore-logo_y2f2td.png,https://res.cloudinary.com/dovouihq8/image/upload/v1722324588/nongkrongr-real/sore-cover_ldf95p.jpg,,approved
c106,al-dente-coffee-kl12,Al Dente Coffee Roastery,"Bagi para pecinta kopi sejati, Al Dente adalah destinasi wajib. Mereka me-roasting biji kopi sendiri, menjamin kualitas dan kesegaran di setiap cangkir. Suasananya tenang dan cocok untuk kerja.",Jl. Jaksa Agung R. Suprapto,Palembang,Ilir Barat I,08:00 - 21:00,3,-2.983,104.747,false,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324570/nongkrongr-real/aldente-logo_ddm8pe.png,https://res.cloudinary.com/dovouihq8/image/upload/v1722324569/nongkrongr-real/aldente-cover_a67x2d.jpg,,approved
c107,sins-co-coffee-mn34,Sins.co Coffee,"Kafe modern dengan desain industrial yang kental. Terkenal dengan varian kopi susu kekinian dan suasananya yang selalu ramai oleh anak muda. Tempat yang pas untuk hangout bareng teman.",Jl. Proklamasi,Palembang,Ilir Barat I,10:00 - 23:00,2,-2.989,104.743,true,2024-11-30,3,https://res.cloudinary.com/dovouihq8/image/upload/v1722324586/nongkrongr-real/sinsco-logo_z0x6ex.png,https://res.cloudinary.com/dovouihq8/image/upload/v1722324586/nongkrongr-real/sinsco-cover_tpswnq.jpg,f47ac10b-58cc-4372-a567-0e02b2c3d479,approved
c108,janji-jiwa-sudirman-op56,Janji Jiwa & Jiwa Toast Sudirman,"Salah satu gerai Janji Jiwa terbesar dengan tempat duduk yang nyaman dan desain modern. Lokasinya yang strategis di pusat kota membuatnya mudah dijangkau dan selalu jadi pilihan.",Jl. Jend. Sudirman No.62,Palembang,Ilir Timur I,09:00 - 22:00,1,-2.987,104.76,false,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324573/nongkrongr-real/janji-jiwa-logo_u5t9x4.png,https://res.cloudinary.com/dovouihq8/image/upload/v1722324572/nongkrongr-real/janji-jiwa-cover_k1qg7h.jpg,,approved
c109,penology-coffee-qr78,Penology Coffee,"Kafe dengan konsep 'prison' yang unik dan industrial. Selain kopi, mereka juga punya menu makanan berat yang lezat. Tempat yang asyik untuk nongkrong malam hari.",Jl. Angkatan 45,Palembang,Ilir Barat I,11:00 - 23:00,2,-2.98,104.745,false,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324583/nongkrongr-real/penology-logo_e3b7r0.png,https://res.cloudinary.com/dovouihq8/image/upload/v1722324582/nongkrongr-real/penology-cover_q46x6d.jpg,,approved
c110,liberica-picon-st90,Liberica Coffee - Palembang Icon,"Berada di dalam mall, Liberica menawarkan kualitas kopi premium dan suasana yang elegan. Cocok untuk meeting santai atau istirahat sejenak setelah berbelanja.",Palembang Icon Mall, Lt. GF,Palembang,Ilir Barat I,10:00 - 22:00,3,-2.984,104.748,false,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324580/nongkrongr-real/liberica-logo_svag6x.png,https://res.cloudinary.com/dovouihq8/image/upload/v1722324579/nongkrongr-real/liberica-cover_ygr4x0.jpg,,approved
c111,starbucks-pif-uv12,Starbucks Palembang Indah Mall,"Gerai Starbucks yang selalu ramai dengan standar kualitas yang sudah dikenal. Tempat andalan untuk bekerja atau sekadar menikmati Frappuccino favorit di tengah mall.",Palembang Indah Mall, Lt. GF,Palembang,Ilir Barat I,10:00 - 22:00,3,-2.991,104.754,false,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324589/nongkrongr-real/starbucks-logo_y2jk9d.png,https://res.cloudinary.com/dovouihq8/image/upload/v1722324589/nongkrongr-real/starbucks-cover_g9f93m.jpg,,approved
c112,rerumputan-social-space-wx34,Rerumputan Social Space,"Tempat nongkrong outdoor yang sangat luas dengan konsep taman tropis. Sempurna untuk kumpul ramai-ramai, menikmati live music, dan angin malam Palembang.",Jl. Dr. M. Isa No.99,Palembang,Ilir Timur II,15:00 - 24:00,2,-2.968,104.779,true,2025-08-31,4,https://res.cloudinary.com/dovouihq8/image/upload/v1722324584/nongkrongr-real/rerumputan-logo_h1g1f3.png,https://res.cloudinary.com/dovouihq8/image/upload/v1722324584/nongkrongr-real/rerumputan-cover_tuzw5q.jpg,,approved
c113,kala-senja-prabumulih-yz56,Kala Senja Prabumulih,"Menikmati kopi dengan pemandangan kota Prabumulih dari ketinggian. Kala Senja menawarkan suasana romantis yang pas untuk hangout bareng pasangan.",Jl. Jend. Sudirman No. 201,Prabumulih,Prabumulih Timur,16:00 - 23:00,2,-3.435,104.241,false,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324574/nongkrongr-real/kalasenja-logo_o7qgxv.png,https://res.cloudinary.com/dovouihq8/image/upload/v1722324574/nongkrongr-real/kalasenja-cover_kwhqgo.jpg,,approved
c114,linggau-creative-hub-ab78,Linggau Creative Hub,"Bukan cuma tempat ngopi, tapi juga ruang kolaborasi bagi anak muda Lubuklinggau. Desainnya industrial dengan sentuhan seni lokal.",Jl. Yos Sudarso No. 45,Lubuklinggau,Lubuklinggau Timur I,10:00 - 22:00,2,-3.295,102.86,true,2025-02-28,5,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324580/nongkrongr-real/linggau-creative-hub-cover_lq6k3b.jpg,,approved
c115,kebun-teh-pagar-alam-cd90,Puncak Pagar Alam Resto & Coffee,"Ngopi di tengah sejuknya kebun teh Pagar Alam. Pemandangan Gunung Dempo yang megah menjadi daya tarik utama.",Kawasan Gunung Dempo,Pagar Alam,Pagar Alam Utara,08:00 - 20:00,2,-4.025,103.13,false,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324583/nongkrongr-real/puncak-pagar-alam-cover_z1gxzf.jpg,,approved
c116,titik-temu-lahat-ef12,Titik Temu Lahat,"Kafe modern di jantung kota Lahat. Tempatnya nyaman untuk nugas dengan banyak stop kontak dan wifi yang stabil.",Jl. Mayor Ruslan I No. 88,Lahat,Pusat Kota,09:00 - 23:00,2,-3.79,103.54,false,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324590/nongkrongr-real/titik-temu-lahat-cover_n88g5u.jpg,,approved
c117,angkringan-enim-gh34,Angkringan Enim,"Nongkrong murah meriah dengan suasana khas angkringan Jogja di Muara Enim. Pilihan sate dan nasinya beragam.",Jl. SMB II No. 10,Muara Enim,Pusat Kota,17:00 - 01:00,1,-3.655,103.615,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324571/nongkrongr-real/angkringan-enim-cover_g99zkl.jpg,,approved
c118,dermaga-kopi-banyuasin-ij56,Dermaga Kopi Banyuasin,"Ngopi di tepi Sungai Musi dengan pemandangan perahu lalu-lalang. Menawarkan suasana yang tenang dan berbeda.",Jl. Lintas Timur,Banyuasin,Pangkalan Balai,10:00 - 22:00,2,-2.87,104.38,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324571/nongkrongr-real/dermaga-kopi-cover_jefvke.jpg,,approved
c119,kampus-kopi-indralaya-kl78,Kampus Kopi Indralaya,"Tempat andalan mahasiswa UNSRI untuk nugas dan diskusi. Harganya sangat terjangkau dengan fasilitas yang lengkap.",Jl. Lintas Sumatera,Ogan Ilir,Indralaya Utara,24 Jam,1,-3.22,104.65,false,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324575/nongkrongr-real/kampus-kopi-logo_a9q2kv.png,https://res.cloudinary.com/dovouihq8/image/upload/v1722324575/nongkrongr-real/kampus-kopi-cover_rqyvdy.jpg,,approved
c120,ruang-ketiga-palembang-mn90,Ruang Ketiga,"Kafe minimalis dengan pencahayaan alami yang melimpah. Sangat cocok untuk para fotografer atau yang suka dengan suasana clean dan tenang.",Jl. Rajawali No. 8,Palembang,Ilir Timur II,08:00 - 21:00,2,-2.96,104.77,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324585/nongkrongr-real/ruang-ketiga-cover_x6t4xc.jpg,,approved
c121,boediman-coffee-op12,Boediman Coffee,"Kedai kopi mungil yang menyajikan kopi-kopi single origin terbaik dari seluruh Indonesia. Tempat bagi mereka yang menghargai cita rasa kopi otentik.",Jl. Veteran No. 77A,Palembang,Ilir Timur I,09:00 - 20:00,3,-2.975,104.765,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324571/nongkrongr-real/boediman-cover_c1v8f9.jpg,,approved
c122,eight-grams-coffee-qr34,8 Grams Coffee & Eatery,"Kafe luas dengan pilihan menu makanan berat yang beragam. Cocok untuk kumpul keluarga atau acara arisan.",Jl. Demang Lebar Daun No. 1,Palembang,Ilir Barat I,10:00 - 22:00,2,-2.98,104.73,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324572/nongkrongr-real/eight-grams-cover_y1rxti.jpg,,approved
c123,la-sorella-st56,La Sorella,"Kafe cantik dengan dekorasi tropis dan sentuhan warna pastel. Setiap sudutnya instagramable, dan pilihan dessert-nya wajib dicoba.",Jl. Basuki Rahmat No. 101,Palembang,Kemuning,11:00 - 22:00,2,-2.95,104.75,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324579/nongkrongr-real/la-sorella-cover_lrfy6a.jpg,,approved
c124,bask-prabumulih-uv78,Bask Cafe & Eatery,"Tempat nongkrong paling hits di Prabumulih dengan live music setiap malam. Suasananya selalu ramai dan seru.",Jl. Padat Karya,Prabumulih,Prabumulih Barat,11:00 - 24:00,2,-3.44,104.23,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324571/nongkrongr-real/bask-cover_p9fbvg.jpg,,approved
c125,kopitiam-linggau-wx90,Kopitiam 88,"Menghadirkan suasana kopitiam klasik dengan menu sarapan otentik seperti roti srikaya dan kopi tarik. Cocok untuk memulai hari.",Jl. Garuda No. 12,Lubuklinggau,Lubuklinggau Barat I,07:00 - 21:00,2,-3.3,102.85,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324579/nongkrongr-real/kopitiam-linggau-cover_f8d6xq.jpg,,approved
c126,rumah-kayu-pagar-alam-yz12,Rumah Kayu Resto,"Makan dan ngopi di rumah panggung kayu tradisional dengan pemandangan perbukitan hijau. Suasananya sangat asri dan menenangkan.",Jl. Air Perikan,Pagar Alam,Pagar Alam Selatan,09:00 - 21:00,2,-4.14,103.25,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324585/nongkrongr-real/rumah-kayu-pagar-alam-cover_h3r2ev.jpg,,approved
c127,cerita-kopi-muara-enim-ab34,Cerita Kopi Muara Enim,"Kafe cozy dengan banyak buku yang bisa dibaca. Tempat yang pas untuk bersantai sambil menikmati kopi dan membaca novel.",Jl. Dr. Ak. Gani No. 34,Muara Enim,Pusat Kota,10:00 - 22:00,2,-3.65,103.62,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324572/nongkrongr-real/cerita-kopi-muara-enim-cover_uyl5b5.jpg,,approved
c128,taman-langit-kayuagung-cd56,Taman Langit Kayuagung,"Kafe outdoor dengan konsep taman yang luas. Banyak spot duduk lesehan yang nyaman untuk bersantai bersama teman-teman.",Jl. Lintas Timur,Ogan Komering Ilir,Kayuagung,15:00 - 23:00,1,-3.37,104.83,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324590/nongkrongr-real/taman-langit-kayuagung-cover_p4e8vj.jpg,,approved
c129,baturaja-kopitown-ef78,Baturaja Kopitown,"Pusat nongkrong anak muda Baturaja. Selain kopi, ada juga menu makanan berat dan ringan yang lengkap.",Jl. Akmal No. 10,Ogan Komering Ulu,Baturaja Timur,10:00 - 24:00,2,-4.12,104.16,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324571/nongkrongr-real/baturaja-kopitown-cover_ew443p.jpg,,approved
c130,sudut-kota-sekayu-gh90,Sudut Kota Sekayu,"Kafe dengan desain industrial di pusat kota Sekayu. Pilihan kopinya modern dan selalu ada menu baru setiap bulan.",Jl. Merdeka No. 1,Musi Banyuasin,Sekayu,09:00 - 22:00,2,-2.64,104.09,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324589/nongkrongr-real/sudut-kota-sekayu-cover_f8rxyk.jpg,,approved
c131,river-side-plaju-ij12,Riverside Plaju,"Menikmati kopi dengan pemandangan kilang Pertamina dan Sungai Musi dari Seberang Ulu. Pemandangan malam harinya sangat indah.",Jl. K.H. Azhari,Palembang,Plaju,16:00 - 24:00,2,-3.01,104.79,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324584/nongkrongr-real/riverside-plaju-cover_vfqj3t.jpg,,approved
c132,the-ambience-palembang-kl34,The Ambience,"Kafe & resto dengan interior mewah dan elegan. Cocok untuk acara formal, meeting penting, atau makan malam romantis.",Jl. Jend. Sudirman No. 123,Palembang,Ilir Timur I,11:00 - 22:00,3,-2.98,104.76,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324590/nongkrongr-real/the-ambience-cover_y1h9l9.jpg,,approved
c133,foresthree-palembang-mn56,Foresthree Coffee,"Membawa konsep alam ke tengah kota. Interiornya dipenuhi tanaman hijau yang membuat suasana jadi sejuk dan asri.",Jl. R. Sukamto No. 8,Palembang,Ilir Timur II,10:00 - 22:00,2,-2.95,104.78,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324573/nongkrongr-real/foresthree-cover_j3gqll.jpg,,approved
c134,cold-n-brew-op78,Cold N' Brew,"Spesialis kopi seduh dingin (cold brew) dengan berbagai varian rasa yang unik. Tempatnya kecil tapi sangat cozy.",Jl. Kapten A. Rivai No. 22,Palembang,Ilir Barat I,08:00 - 20:00,2,-2.985,104.745,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324572/nongkrongr-real/coldnbrew-cover_y5ed1w.jpg,,approved
c135,waranqu-prabumulih-qr90,Waranqu Prabumulih,"Warung kopi modern dengan harga mahasiswa. Selalu ramai dan menjadi tempat favorit untuk mengerjakan tugas kelompok.",Jl. Angkatan 45,Prabumulih,Prabumulih Utara,24 Jam,1,-3.42,104.235,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324591/nongkrongr-real/waranqu-prabumulih-cover_fqun3n.jpg,,approved
c136,bukit-kape-lahat-st12,Bukit Kape Lahat,"Nikmati secangkir kopi robusta asli Lahat sambil memandang hamparan perbukitan yang hijau. Suasananya benar-benar damai.",Desa Pagar Batu,Lahat,Pagar Gunung,09:00 - 18:00,1,-3.85,103.45,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324572/nongkrongr-real/bukit-kape-lahat-cover_x6t4xc.jpg,,approved
c137,kopilogi-ogan-ilir-uv34,Kopilogi Ogan Ilir,"Kedai kopi sederhana dengan cita rasa kopi yang luar biasa. Baristanya sangat ahli dalam meracik kopi manual brew.",Jl. Lintas Palembang-Prabumulih,Ogan Ilir,Indralaya,10:00 - 22:00,2,-3.23,104.64,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324579/nongkrongr-real/kopilogi-ogan-ilir-cover_w1h2z3.jpg,,approved
c138,omni-coffee-palembang-wx56,Omni Coffee,"Kafe minimalis dengan sentuhan Jepang. Suasananya sangat tenang dan bersih, cocok untuk fokus bekerja atau membaca.",Jl. Bangau No. 110,Palembang,Ilir Timur II,09:00 - 21:00,2,-2.97,104.78,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324582/nongkrongr-real/omni-coffee-cover_g9f93m.jpg,,approved
